Time	cb	gl	xy
2.490000000000000000e+02	1.305851681110098861e+00	1.388893189241115245e+01	6.950084463031529047e+00
2.520000000000000000e+02	1.301009118782662455e+00	1.415451910759383303e+01	7.091750839046596866e+00
2.550000000000000000e+02	1.297568524931460576e+00	1.444618187252073582e+01	7.225672203726549725e+00
2.580000000000000000e+02	1.305740774018374406e+00	1.466856093964961971e+01	7.311346609203146052e+00
2.610000000000000000e+02	1.300770806575600291e+00	1.470440864667124714e+01	7.339064970050120706e+00
2.640000000000000000e+02	1.287660210035884267e+00	1.471720655486894103e+01	7.330605516812410904e+00
2.670000000000000000e+02	1.284029842814297107e+00	1.477280167456549975e+01	7.339539647300745706e+00
2.700000000000000000e+02	1.281587348559882544e+00	1.471624973465699071e+01	7.311592201989494555e+00
2.730000000000000000e+02	1.294457044793529965e+00	1.468226665858981406e+01	7.267048404429620412e+00
2.760000000000000000e+02	1.287122783311427821e+00	1.475590774743927724e+01	7.328947235284404726e+00
2.790000000000000000e+02	1.297320419757999943e+00	1.468467712643322187e+01	7.292744123841547577e+00
2.820000000000000000e+02	1.304011768916566449e+00	1.466972194685105535e+01	7.271637145005712455e+00
2.850000000000000000e+02	1.291023479665617479e+00	1.477330360640254803e+01	7.331419811791040075e+00
2.880000000000000000e+02	1.299715979124326903e+00	1.478115118549175833e+01	7.332314333506813497e+00
2.910000000000000000e+02	1.299668178553858189e+00	1.479645768450484056e+01	7.344928649029832002e+00
2.940000000000000000e+02	1.302104247226815170e+00	1.471685729531973585e+01	7.308887341147130456e+00
2.970000000000000000e+02	1.298278477466624725e+00	1.481872329852011738e+01	7.342407934002727288e+00
3.000000000000000000e+02	1.289537618873318747e+00	1.473628221395453153e+01	7.317429873574458732e+00
3.030000000000000000e+02	1.301987446195477016e+00	1.489718699648220657e+01	7.386459423558696002e+00
3.060000000000000000e+02	1.291603257721429365e+00	1.494176792971420653e+01	7.390702619909339077e+00
3.090000000000000000e+02	1.288705771578239290e+00	1.484348261379609468e+01	7.328370426721194875e+00
3.120000000000000000e+02	1.291800965634075204e+00	1.480260905540252914e+01	7.309138059826508993e+00
3.150000000000000000e+02	1.286912693066692315e+00	1.477956393746274344e+01	7.313665353016810755e+00
3.180000000000000000e+02	1.289844842173860640e+00	1.467203240502241890e+01	7.271354292369828443e+00
3.210000000000000000e+02	1.288673441549246679e+00	1.481984963887449602e+01	7.340299923058506870e+00
3.240000000000000000e+02	1.296864452391864875e+00	1.486259342444881248e+01	7.358448284170065357e+00
3.270000000000000000e+02	1.299603785460863969e+00	1.489067840150761768e+01	7.369042733321203187e+00
3.300000000000000000e+02	1.293127178307427183e+00	1.465768656507619028e+01	7.240844195672134553e+00
3.330000000000000000e+02	1.295171313751716902e+00	1.465028931001191914e+01	7.233933956448010072e+00
3.360000000000000000e+02	1.295819165270592599e+00	1.470085896688514104e+01	7.270303967717087978e+00
3.390000000000000000e+02	1.303949059533887844e+00	1.464710184832965112e+01	7.243322606713759271e+00
3.420000000000000000e+02	1.308345160598966439e+00	1.464178928264936275e+01	7.213848774130511288e+00
3.450000000000000000e+02	1.316437139476871243e+00	1.478518167252042481e+01	7.273965860850858611e+00
3.480000000000000000e+02	1.325587362917424405e+00	1.468538478892671861e+01	7.232736460216047547e+00
3.510000000000000000e+02	1.333978073886502802e+00	1.453607087475213788e+01	7.156466876597300519e+00
3.540000000000000000e+02	1.333383045437688930e+00	1.434891859143844606e+01	7.082906120057753441e+00
3.570000000000000000e+02	1.334113434858095193e+00	1.436949853174459868e+01	7.119392196118285554e+00
3.600000000000000000e+02	1.338080304967914413e+00	1.437472890373668299e+01	7.136614557514664448e+00
